Estrato,Zona,Estrato_Admin,Estrato_agregado,Situacao
2210011,Urbana,Capital,Teresina,Urbano tradicional
2210012,Urbana,Capital,Teresina,Urbano tradicional
2210013,Urbana,Capital,Teresina,Urbano tradicional
2210020,Rural,Capital,Teresina,Rural
2210030,Urbana,Capital,Teresina,FCU
2220010,Urbana,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",Entorno metropolitano de Teresina (PI),Urbano tradicional
2220020,Rural,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",Entorno metropolitano de Teresina (PI),Rural
2251011,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Urbano tradicional
2251012,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Urbano tradicional
2251013,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Urbano tradicional
2251020,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Rural
2251021,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Rural
2251022,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Centro-Leste do Piauí,Rural
2252011,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Urbano tradicional
2252012,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Urbano tradicional
2252013,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Urbano tradicional
2252020,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Rural
2252021,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Rural
2252022,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Baixo Parnaíba do Piauí,Rural
2253010,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Urbano tradicional
2253011,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Urbano tradicional
2253012,Urbana,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Urbano tradicional
2253020,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Rural
2253021,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Rural
2253022,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Rural
2254020,Rural,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Alto Parnaíba e Chapadas Sul do Piauí,Rural
