Regiao_Geografica,Recorte_Demografico,Indicador,Erro
Zona_Urbana,Raca,Taxa_Desocupacao,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 4 de 5 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Raca,Rendimento_Formal,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 3 de 5 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Raca,Rendimento_Informal,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 4 de 5 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Raca,Taxa_Subocupacao,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 4 de 5 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Instrucao,Proporcao_Ocupados_Escolarizados,"RECUSADO pela guarda de variância: matriz de covariância replicada com posto 1 de 7 — ver o recorte Instrucao_agregado, que responde à mesma pergunta em resolução menor"
Zona_Urbana,Raca,Desalentados_Forca_Ampliada,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 4 de 6 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Raca,Desalentados_Fora_Forca,RECUSADO pela guarda de variância: matriz de covariância replicada com posto 4 de 5 (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Instrucao,Motivo_Desistencia_Desalentado,"RECUSADO pela guarda de variância: tabela 4x7 com 32% de células vazias (limite 20%) — ver o recorte Instrucao_agregado, que responde à mesma pergunta em resolução menor"
Zona_Urbana,Faixa_Etaria_trabalho,Taxa_Nem_Nem,PULADO: recorte Faixa_Etaria_trabalho tem só 1 nível(is) presente(s) nesse subconjunto
Zona_Urbana,Faixa_Etaria_trabalho,Motivo_Nao_Procura_NemNem,PULADO: recorte Faixa_Etaria_trabalho tem só 1 nível(is) presente(s) nesse subconjunto
Zona_Urbana,Instrucao,Motivo_Nao_Procura_NemNem,"RECUSADO pela guarda de variância: tabela 6x7 com 40% de células vazias (limite 20%) — ver o recorte Instrucao_agregado, que responde à mesma pergunta em resolução menor"
Zona_Urbana,Raca,Motivo_Nao_Inicio_NemNem,RECUSADO pela guarda de variância: tabela 6x3 com 28% de células vazias (limite 20%) (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Faixa_Etaria_trabalho,Motivo_Nao_Inicio_NemNem,PULADO: recorte Faixa_Etaria_trabalho tem só 1 nível(is) presente(s) nesse subconjunto
Zona_Urbana,Instrucao_agregado,Motivo_Nao_Inicio_NemNem,RECUSADO pela guarda de variância: tabela 6x2 com 25% de células vazias (limite 20%) (não há recorte agregado equivalente nesta dimensão)
Zona_Urbana,Instrucao,Motivo_Nao_Inicio_NemNem,"RECUSADO pela guarda de variância: tabela 6x7 com 48% de células vazias (limite 20%) — ver o recorte Instrucao_agregado, que responde à mesma pergunta em resolução menor"
