Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Zona_Urbana,Zona Urbana,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),3003.6204506017166,"1, 199",0,***,0,***,3692
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Zona_Rural,Zona Rural,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),1152.856547682135,"1, 199",0,***,0,***,1269
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Admin_Capital,Capital,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),1242.1191667158898,"1, 199",0,***,0,***,1964
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,"Admin_Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)","Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital)",Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),415.34416210151176,"1, 199",0,***,0,***,454
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,"Admin_Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)","Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),2448.399289794648,"1, 199",0,***,0,***,2543
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Agreg_Teresina,Teresina,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),1242.1191667158898,"1, 199",0,***,0,***,1964
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Agreg_Entorno metropolitano de Teresina (PI),Entorno metropolitano de Teresina (PI),Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),415.34416210151176,"1, 199",0,***,0,***,454
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Agreg_Centro-Leste do Piauí,Centro-Leste do Piauí,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),844.2669692661478,"1, 199",0,***,0,***,881
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Agreg_Baixo Parnaíba do Piauí,Baixo Parnaíba do Piauí,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),879.807524021863,"1, 199",0,***,0,***,919
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Agreg_Alto Parnaíba e Chapadas Sul do Piauí,Alto Parnaíba e Chapadas Sul do Piauí,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),720.5239249701182,"1, 199",0,***,0,***,743
