Indicador,Indicador_Nome,Recorte_Regional,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Taxa_Composta_Subutilizacao,Taxa_Composta_Subutilizacao,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),429.71907563959394,"1, 199",3.874586329071907e-42,***,3.3708901062925598e-40,***,5949
Taxa_Composta_Subutilizacao,Taxa_Composta_Subutilizacao,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),442.8711119241807,"2, 199",3.184565506124386e-40,***,1.3852859951641075e-38,***,5949
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),312.63286273726317,"1, 199",4.437221237019557e-39,***,1.2867941587356717e-37,***,4961
Desalentados_Forca_Ampliada,Desalentados na Força de Trabalho Ampliada,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),216.4843588660733,"1, 199",6.283470593976194e-38,***,1.3666548541898224e-36,***,5785
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),399.6113567920238,"1, 199",1.1394222702725604e-34,***,1.9825947502742548e-33,***,4961
Taxa_Subocupacao,Subocupação por Insuficiência de Horas,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),339.1476123662851,"2, 199",1.0787913374380732e-27,***,1.564247439285206e-26,***,4961
Desalentados_Fora_Forca,Desalentados Fora da Força de Trabalho,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),143.0499652276012,"1, 199",5.7557136884352245e-27,***,7.153529869912351e-26,***,5164
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Teresina_x_Resto_Piaui,Teresina x Resto do Piauí,Teresina_Resto,svyglm+regTermTest(LRT),290.53723466982865,"1, 199",1.1312312124112263e-24,***,1.1662149595597491e-23,***,4961
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Estrato_Administrativo,Estrato Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),296.446729939561,"2, 199",1.2064292685100852e-24,***,1.1662149595597491e-23,***,4961
Rendimento_Medio_Habitual,Rendimento Médio Habitual,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),2185564058.3423843,"1, 199",1.7086251898504633e-24,***,1.486503915169903e-23,***,12926
Rendimento_Informal,Rendimento Médio — Setor Informal,Zona,Zona (Urbana/Rural),Zona,svyglm+regTermTest(LRT),262412095.9160824,"1, 199",2.5679129267224314e-22,***,2.0309856784077408e-21,***,2485
Proporcao_Ocupados_Escolarizados,Ocupados com Ensino Médio Completo ou Mais,Estrato_Agregado,Estrato Agregado/Geográfico,Estrato_agregado,svyglm+regTermTest(LRT),304.0373770213482,"4, 199",5.968000977714998e-21,***,4.326800708843373e-20,***,4961
