estrato_geografico,AAA,GG,S,n_UPAs,n_setores,DPPO_total,DPPO_mediano_UPA,UPAs_abaixo_min,UPAs_1_setor,renda_imputada,max_estratos_150
221001,221,00,1,929,1034,205007,216,0,0,0,5
221002,221,00,2,104,127,13956,116,0,0,0,0
221003,221,00,3,300,369,60892,190,0,0,0,2
222001,222,00,1,190,220,40104,207,0,0,0,1
222002,222,00,2,179,213,25357,134,0,0,0,1
225101,225,10,1,733,821,152832,202,0,0,0,4
225102,225,10,2,864,1226,109523,122,0,0,0,5
225103,225,10,3,1,2,122,122,0,0,0,0
225201,225,20,1,817,935,176514,210,0,0,0,5
225202,225,20,2,837,1089,111529,125,0,0,0,5
225203,225,20,3,1,1,144,144,0,1,0,0
225301,225,30,1,505,579,110696,218,0,0,0,3
225302,225,30,2,489,715,64756,125,0,0,0,3
