Estrato_reconstruido,E_reconstruido,Estrato_oficial,E_oficial
2210011,1,2210011,1
2210012,2,2210012,2
2210013,3,2210013,3
2210020,0,2210020,0
2210030,0,2210030,0
2220010,0,2220010,0
2220020,0,2220020,0
2251011,1,2251011,1
2251012,2,2251012,2
2251013,3,2251013,3
2251021,1,2251020,0
2251022,2,2251021,1
2251023,3,2251022,2
2252011,1,2252011,1
2252012,2,2252012,2
2252013,3,2252013,3
2252021,1,2252020,0
2252022,2,2252021,1
2252023,3,2252022,2
2253011,1,2253010,0
2253012,2,2253011,1
2253013,3,2253012,2
2253021,1,2253020,0
2253022,2,2253021,1
2253023,3,2253022,2
