checagem,ok,territorio,ano,tri
ft + fora_ft == pit,TRUE,Brasil,2016,2
ocup + desocup == ft,TRUE,Brasil,2016,2
sexo: soma == pit,TRUE,Brasil,2016,2
faixa SIDRA: soma == pit,TRUE,Brasil,2016,2
subutil <= ft_ampliada,TRUE,Brasil,2016,2
taxa desocupação antiga == nova,TRUE,Brasil,2016,2
ft + fora_ft == pit,TRUE,Nordeste,2016,2
ocup + desocup == ft,TRUE,Nordeste,2016,2
sexo: soma == pit,TRUE,Nordeste,2016,2
faixa SIDRA: soma == pit,TRUE,Nordeste,2016,2
subutil <= ft_ampliada,TRUE,Nordeste,2016,2
taxa desocupação antiga == nova,TRUE,Nordeste,2016,2
ft + fora_ft == pit,TRUE,Piauí,2016,2
ocup + desocup == ft,TRUE,Piauí,2016,2
sexo: soma == pit,TRUE,Piauí,2016,2
faixa SIDRA: soma == pit,TRUE,Piauí,2016,2
subutil <= ft_ampliada,TRUE,Piauí,2016,2
taxa desocupação antiga == nova,TRUE,Piauí,2016,2
ft + fora_ft == pit,TRUE,Brasil,2016,3
ocup + desocup == ft,TRUE,Brasil,2016,3
sexo: soma == pit,TRUE,Brasil,2016,3
faixa SIDRA: soma == pit,TRUE,Brasil,2016,3
subutil <= ft_ampliada,TRUE,Brasil,2016,3
taxa desocupação antiga == nova,TRUE,Brasil,2016,3
ft + fora_ft == pit,TRUE,Nordeste,2016,3
ocup + desocup == ft,TRUE,Nordeste,2016,3
sexo: soma == pit,TRUE,Nordeste,2016,3
faixa SIDRA: soma == pit,TRUE,Nordeste,2016,3
subutil <= ft_ampliada,TRUE,Nordeste,2016,3
taxa desocupação antiga == nova,TRUE,Nordeste,2016,3
ft + fora_ft == pit,TRUE,Piauí,2016,3
ocup + desocup == ft,TRUE,Piauí,2016,3
sexo: soma == pit,TRUE,Piauí,2016,3
faixa SIDRA: soma == pit,TRUE,Piauí,2016,3
subutil <= ft_ampliada,TRUE,Piauí,2016,3
taxa desocupação antiga == nova,TRUE,Piauí,2016,3
ft + fora_ft == pit,TRUE,Piauí,2016,4
ocup + desocup == ft,TRUE,Piauí,2016,4
sexo: soma == pit,TRUE,Piauí,2016,4
faixa SIDRA: soma == pit,TRUE,Piauí,2016,4
subutil <= ft_ampliada,TRUE,Piauí,2016,4
taxa desocupação antiga == nova,TRUE,Piauí,2016,4
ft + fora_ft == pit,TRUE,Piauí,2017,1
ocup + desocup == ft,TRUE,Piauí,2017,1
sexo: soma == pit,TRUE,Piauí,2017,1
faixa SIDRA: soma == pit,TRUE,Piauí,2017,1
subutil <= ft_ampliada,TRUE,Piauí,2017,1
taxa desocupação antiga == nova,TRUE,Piauí,2017,1
ft + fora_ft == pit,TRUE,Piauí,2017,2
ocup + desocup == ft,TRUE,Piauí,2017,2
sexo: soma == pit,TRUE,Piauí,2017,2
faixa SIDRA: soma == pit,TRUE,Piauí,2017,2
subutil <= ft_ampliada,TRUE,Piauí,2017,2
taxa desocupação antiga == nova,TRUE,Piauí,2017,2
ft + fora_ft == pit,TRUE,Piauí,2017,3
ocup + desocup == ft,TRUE,Piauí,2017,3
sexo: soma == pit,TRUE,Piauí,2017,3
faixa SIDRA: soma == pit,TRUE,Piauí,2017,3
subutil <= ft_ampliada,TRUE,Piauí,2017,3
taxa desocupação antiga == nova,TRUE,Piauí,2017,3
ft + fora_ft == pit,TRUE,Piauí,2017,4
ocup + desocup == ft,TRUE,Piauí,2017,4
sexo: soma == pit,TRUE,Piauí,2017,4
faixa SIDRA: soma == pit,TRUE,Piauí,2017,4
subutil <= ft_ampliada,TRUE,Piauí,2017,4
taxa desocupação antiga == nova,TRUE,Piauí,2017,4
