Indicador,Recorte_Regional,Variavel_Testada,Metodo,Estatistica,GL,p_valor,N,n_testes_familia,p_ajustado
Taxa_Desocupacao,Zona,Zona,svyglm+regTermTest(LRT),13.654460478976034,"1, 199",0.009505570148479326,5424,92,0.011506742811317078
Taxa_Desocupacao,Situacao,Situacao,svyglm+regTermTest(LRT),14.476755781913198,"2, 199",0.011206976239443583,5424,92,0.01321848479524115
Taxa_Desocupacao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),27.404489861101865,"2, 199",3.247928928276584e-4,5424,92,4.208583963400644e-4
Taxa_Desocupacao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),35.203477962148554,"4, 199",0.00717503962515709,5424,92,0.008801381940192697
Taxa_Desocupacao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),4.689140599934035,"1, 199",0.0567149592464836,5424,92,0.06286477410453604
Chefes_Familia_Desocupados,Zona,Zona,svyglm+regTermTest(LRT),0.7710084192718796,"1, 199",0.4598471567049176,463,92,0.4700659824094713
Chefes_Familia_Desocupados,Situacao,Situacao,svyglm+regTermTest(LRT),2.1816014584914,"2, 199",0.38459833317537373,463,92,0.39756232193409424
Chefes_Familia_Desocupados,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),8.273818179468321,"2, 199",0.04360034217512581,463,92,0.04952137629767376
Chefes_Familia_Desocupados,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),19.171814228452035,"4, 199",0.037401913611489694,463,92,0.043012200653213144
Chefes_Familia_Desocupados,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),7.942436250509331,"1, 199",0.010559577093462655,463,92,0.01261663756621512
Conribuintes_Desocupados,Zona,Zona,svyglm+regTermTest(LRT),2.0259019317596767,"1, 199",0.26777691652051444,463,92,0.2831663944814636
Conribuintes_Desocupados,Situacao,Situacao,svyglm+regTermTest(LRT),2.947154150667643,"2, 199",0.33848512072350967,463,92,0.35387080802912374
Conribuintes_Desocupados,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),15.835645702713691,"2, 199",0.00195843382124595,463,92,0.002434809615603073
Conribuintes_Desocupados,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),19.001027379654943,"4, 199",0.056360174686697115,463,92,0.06286477410453604
Conribuintes_Desocupados,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),14.489073846055135,"1, 199",6.844718228470172e-4,463,92,8.746028847489663e-4
Rendimento_Medio_Habitual,Zona,Zona,svyglm+regTermTest(LRT),2185564058.3423843,"1, 199",1.7086251898504633e-24,12926,92,1.429031976965842e-23
Rendimento_Medio_Habitual,Situacao,Situacao,svyglm+regTermTest(LRT),2293944300.1845703,"2, 199",1.0484887243225892e-20,12926,92,6.890068759834157e-20
Rendimento_Medio_Habitual,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),3211092539.2286987,"2, 199",6.642095288265373e-10,12926,92,1.2221455330408287e-9
Rendimento_Medio_Habitual,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),3505483346.895653,"4, 199",3.95721258338253e-10,12926,92,7.584657451483183e-10
Rendimento_Medio_Habitual,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),6655493580.072311,"25, 199",7.3631095283252504e-9,12926,92,1.2096537082248625e-8
Rendimento_Medio_Habitual,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),3208846184.4555817,"1, 199",6.308938135194422e-10,12926,92,1.184535323342626e-9
Percentual_Subremuneracao,Zona,Zona,svyglm+regTermTest(LRT),199.14618786818846,"1, 199",9.966492883894804e-16,12926,92,3.2747048047082927e-15
Percentual_Subremuneracao,Situacao,Situacao,svyglm+regTermTest(LRT),203.70222333435322,"2, 199",2.1217671318746837e-15,12926,92,6.73112331491279e-15
Percentual_Subremuneracao,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),167.76237757375202,"2, 199",5.499935563206157e-13,12926,92,1.2974206969614525e-12
Percentual_Subremuneracao,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),237.67706058414933,"4, 199",1.354491732286283e-13,12926,92,3.3679253883875145e-13
Percentual_Subremuneracao,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),404.9948827539074,"25, 199",0.08894269776703695,12926,92,0.09741343088770714
Percentual_Subremuneracao,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),166.3394840363144,"1, 199",3.6045534467664524e-13,12926,92,8.726813607960885e-13
Rendimento_Formal,Zona,Zona,svyglm+regTermTest(LRT),902554038.7937241,"1, 199",2.3951744168164202e-14,10441,92,6.481060186679726e-14
Rendimento_Formal,Situacao,Situacao,svyglm+regTermTest(LRT),1075468370.009056,"2, 199",6.214415626577864e-13,10441,92,1.4293155941129086e-12
Rendimento_Formal,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),1399940580.8401108,"2, 199",4.010020947466896e-5,10441,92,5.506297420402305e-5
Rendimento_Formal,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),1521285436.4518356,"4, 199",6.423510939256038e-5,10441,92,8.564681252341384e-5
Rendimento_Formal,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),4154244431.288475,"25, 199",2.9941320217173314e-5,10441,92,4.237848399969146e-5
Rendimento_Formal,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),1378339573.0834274,"1, 199",4.254015086448491e-5,10441,92,5.755432175783253e-5
Rendimento_Informal,Zona,Zona,svyglm+regTermTest(LRT),262412095.91608238,"1, 199",2.5679129267224314e-22,2485,92,1.968733243820531e-21
Rendimento_Informal,Situacao,Situacao,svyglm+regTermTest(LRT),265869529.5452242,"2, 199",7.616561156424033e-20,2485,92,4.671490842606741e-19
Rendimento_Informal,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),483905764.70122623,"2, 199",5.940274646493721e-12,2485,92,1.2709424825056331e-11
Rendimento_Informal,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),515888776.7698183,"4, 199",1.7754899458790818e-12,2485,92,3.984026220021355e-12
Rendimento_Informal,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),784557622.3094864,"25, 199",3.6426912710338335e-9,2485,92,6.323162206322881e-9
Rendimento_Informal,Teresina_x_Resto_Piaui,Teresina_Resto,svyglm+regTermTest(LRT),478354890.01124096,"1, 199",7.148021383812538e-12,2485,92,1.4945862893426215e-11
Taxa_Informalidade,Zona,Zona,svyglm+regTermTest(LRT),206.88665242211573,"1, 199",1.9605204907993936e-17,4961,92,7.214715406141769e-17
Taxa_Informalidade,Situacao,Situacao,svyglm+regTermTest(LRT),207.5987813417205,"2, 199",6.715776091542802e-16,4961,92,2.288338520081251e-15
Taxa_Informalidade,Estrato_Administrativo,Estrato_Admin,svyglm+regTermTest(LRT),182.0222700039967,"2, 199",1.0165552785239554e-16,4961,92,3.597041754777073e-16
Taxa_Informalidade,Estrato_Agregado,Estrato_agregado,svyglm+regTermTest(LRT),213.796846621035,"4, 199",5.748916867379724e-14,4961,92,1.4691676438859293e-13
Taxa_Informalidade,Estrato_Micro,Estrato,svyglm+regTermTest(LRT),353.0513119461657,"25, 199",0.1445166667851563,4961,92,0.15459922493295788
