Indicador,Regiao_Geografica,Recorte_Demografico,Variavel_Testada,Metodo,Estatistica,GL,p_valor,N,n_testes_familia,p_ajustado
Taxa_Desocupacao,Zona_Urbana,Sexo,Sexo,svyglm+regTermTest(LRT),3.4955392411320645,"1, 199",0.11085707702259728,3997,38,0.3914441880137088
Taxa_Desocupacao,Zona_Urbana,Faixa_Etaria_trabalho,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),116.85269953459374,"2, 199",0.1532115572037348,3997,37,0.43606366281062986
Taxa_Desocupacao,Zona_Urbana,Instrucao_agregado,Instrucao,svyglm+regTermTest(LRT),0.11007052312470478,"1, 199",0.7969397766870048,3997,38,0.9705751947876653
Taxa_Desocupacao,Zona_Urbana,Instrucao,VD3004,svyglm+regTermTest(LRT),69.06424804910648,"6, 199",0.011875545274832547,3997,20,0.09451108561516464
Chefes_Familia_Desocupados,Zona_Urbana,Sexo,Sexo,svyglm+regTermTest(LRT),21.920484039189887,"1, 199",8.472705171588757e-4,305,32,0.0030125173943426693
Chefes_Familia_Desocupados,Zona_Urbana,Raca,Raca,svyglm+regTermTest(LRT),0.43985817251024173,"2, 199",0.8271191639296758,305,34,0.9985484971744665
Chefes_Familia_Desocupados,Zona_Urbana,Faixa_Etaria_trabalho,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),37.52009613741666,"2, 199",1.176790964232678e-12,305,29,4.8752768518210955e-12
Chefes_Familia_Desocupados,Zona_Urbana,Instrucao_agregado,Instrucao,svyglm+regTermTest(LRT),10.533224080586592,"1, 199",0.008995085732867865,305,33,0.029683782918463953
Chefes_Familia_Desocupados,Zona_Urbana,Instrucao,VD3004,svyglm+regTermTest(LRT),16.803869237007348,"6, 199",0.7395957783818254,305,13,0.9986172915493705
Conribuintes_Desocupados,Zona_Urbana,Sexo,Sexo,svyglm+regTermTest(LRT),14.869912914027509,"1, 199",0.00203434078411283,305,34,0.009881083808548031
Conribuintes_Desocupados,Zona_Urbana,Raca,Raca,svyglm+regTermTest(LRT),6.212886173683842,"2, 199",0.06020084700013118,305,32,0.3210711840006996
Conribuintes_Desocupados,Zona_Urbana,Faixa_Etaria_trabalho,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),84.73642333849256,"2, 199",4.429238087396735e-23,305,28,1.771695234958694e-22
